Breakdown	Jack Johnson	data/jacbre.abc	Unknown
I'll Be There	Jackson 5	data/jacill.abc	Cervantes
No Bravery	James Blunt	data/jamnob.abc	Ratissia
No Bravery	James Blunt	data/jamnobr.abc	Bungee
Fire and Rain	James Taylor	data/jamfir.abc	Aziel
Jane Says	Jane's Addiction	data/janjan.abc	Ducksey
Five Candles	Jars of Clay	data/jarfiv.abc	Cyrano
Flood	Jars of Clay	data/jarflo.abc	Cyrano
Foolish Games	Jewel	data/jewfool.abc	Bungee
Foolish Games	Jewel	data/jewfoo.abc	Cervantes
Operator	Jim Croce	data/jimope.abc	Gothbat
Hey Joe	Jimi Hendrix	data/jimhey.abc	Chinzia
Margaritaville	Jimmy Buffet	data/jimmar.abc	Genwen
The Middle	Jimmy Eats World	data/jimmid.abc	Cervantes
The Middle	Jimmy Eats World	data/jimmidd.abc	Unknown
One of Us	Joan Osborne	data/joaone.abc	Ratissia
You Are So Beautiful	Joe Cocker	data/joeyou.abc	Bungee
Canon (Variation)	Johann Pachelbel	data/johcanv.abc	Cyrano
Canon in D	Johann Pachelbel	data/johcan.abc	Cyrano
Goldfinger - James Bond Theme	John Barry	data/goldfing.abc	Hoho
Somewhere In Time Theme	John Barry	data/johsom.abc	Cyrano
Ordinary People	John Legend	data/johord.abc	Pocco
Amazing Grace	John Lennon	data/johama.abc	Durinsbane, Findeladan
Imagine	John Lennon	data/johimag.abc	Cyrano
Imagine	John Lennon	data/johima.abc	Cranberry
Imagine	John Lennon	data/johimagi.abc	Tiamo/Skjald
The Raiders March	John Williams	data/johrai.abc	Tiamo/Skjald
I Walk the Line	Johnny Cash	data/johiwa.abc	Cranberry
Battle of New Orleans	Johnny Horton	data/neworleans.abc	Cervantes
Don't Stop Believing	Journey	data/joudon.abc	Cervantes
Open Arms	Journey	data/jouope.abc	Unknown
Open Arms/Faithfully/Serperate Ways	Journey	data/journey.abc	Cyrano
Who's Crying Now	Journey	data/jouwho.abc	Tiamo/Skjald
Jurassic Park Theme	Jurassic Park	data/jurassic.abc	Tiamo/Skjald
I Predict a Riot	Kaiser Chiefs	data/kaiipr.abc	Ratissia
Don't You Cry	Kamelot	data/kamdon.abc	Shorai
Forever	Kamelot	data/kamfor.abc	Shorai
Karma	Kamelot	data/kamkar.abc	Shorai
Carry on my Wayward Son	Kansas	data/kancar.abc	Illyrean
Dust in the Wind	Kansas	data/kandus.abc	Cervantes
Because of You	Kelly Clarkson	data/kelbec.abc	Ratissia
Behind Those Hazel Eyes	Kelly Clarkson	data/kelbeh.abc	Ratissia
Louie Louie	Kingsmen, The	data/kinlou.abc	Ratissia
You Really Got Me Going	Kinks, The	data/kinyou.abc	Syn
I Was Made for Loving You	Kiss	data/kisiwa.abc	Delnara
Knight Rider Theme	Knight Rider	data/knight.abc	Ratissia
Falling	Lacuna Coil	data/lacfal.abc	Cyrano
Falling Again	Lacuna Coil	data/lacfall.abc	Cyrano
Babe I'm Gonna Leave You	Led Zeppelin	data/ledbab.abc	Durinsbane
Black Dog	Led Zeppelin	data/ledbla.abc	Mellianna
Bron Yr Aur	Led Zeppelin	data/ledbro.abc	Figgy
Going to California	Led Zeppelin	data/ledgoi.abc	Galvo
Immigrant Song	Led Zeppelin	data/ledimmi.abc	Nedwyrd
Stairway to Heaven	Led Zeppelin	data/ledstair.abc	Bungee
Stairway to Heaven	Led Zeppelin	data/ledsta.abc	Cervantes
The Battle Of Evermore	Led Zeppelin	data/ledbatt.abc	Ashty
Whole Lotta Love	Led Zeppelin	data/ledwhol.abc	Mellianna
Moonswept Shore	Lee Han Lan	data/leemoo.abc	Cyrano
Fly Away	Lenny Kravitz	data/lenfly.abc	Ducksey
Heart Full of Love	Les Miserables	data/leshea.abc	Thorsongori
Stars	Les Miserables	data/lessta.abc	Thorsongori
In The End	Linkin Park	data/linint.abc	Ducksey
Numb	Linkin Park	data/linnum.abc	Sigil123
Looney Tunes Theme	Looney Tunes	data/looney.abc	Genwen
Compilation	Lord of the Rings	data/lotrcomp.abc	Giddily
Knife in the Dark	Lord of the Rings	data/lotrknif.abc	Galvo
One Ring	Lord of the Rings	data/lotrone.abc	X-command
The Shire	Lord of the Rings (Nintendo)	data/shire.abc	Snosh
Tom Bombadil's Song	Lord of the Rings Online	data/bombadil.abc	Aderius Majare
Biomechanic Man	Lordi	data/lorbio.abc	Shorai
Hard Rock Hallelujah	Lordi	data/lorhar.abc	Shorai
Icon Of Dominance	Lordi	data/lorico.abc	Shorai
Loser	Lordi	data/lorlos.abc	Shorai
Monsterman	Lordi	data/lormon.abc	Shorai
Rock the Hell Outta You	Lordi	data/lorroc.abc	Shorai
What a Wonderful World	Louis Armstrong	data/louwha.abc	Keptwise
What a Wonderful World	Louis Armstrong	data/louwhat.abc	Corrie
Comunque Bella	Lucio Battisti	data/luccom.abc	Cranberry/Torney
Voices	Macross Plus	data/macvoi.abc	Gothbat
California Dreaming	Mamas &amp; the Papas, The	data/mamcal.abc	Ducksey
Sex &amp; Candy	Marcy Playground	data/marsex.abc	Ducksey
Hero	Mariah Carey	data/marher.abc	Cyrano
Beautiful People	Marilyn Manson	data/marbea.abc	Snosh
Underworld	Mario Brothers	data/marund.abc	Nightwind
3 AM	Matchbox 20	data/mat3am.abc	Cervantes
